No	発売日	タイトル	メーカー	価格
376	1993/8/27	美少女戦士セーラームーン	エンジェル	9800
377	1993/8/27	サラブレッドブリーダー	ヘクト	9700
378	1993/8/27	マリオとワリオ	任天堂	6800
379	1993/8/27	樹帝戦紀	エニックス	9600
380	1993/8/27	ＭＶＰベースボール	アクレイム ジャパン	8800
381	1993/8/27	Ｘ ＺＯＮＥ	ケムコ	6500
382	1993/8/27	ＤＥＳＴＲＵＣＴＩＶＥ  (デストラクティブ)	バンダイ	6800
383	1993/9/3	スーパータリカン	トンキンハウス	7500
384	1993/9/10	サンダーバード　　国際救助隊出動せよ	コブラチーム	8800
385	1993/9/10	ラスベガスドリーム	イマジニア	9800
386	1993/9/10	ウイニングポスト	光栄	12800
387	1993/9/10	ミスティッククエスト	スクウェア	7900
388	1993/9/14	新日本プロレスリング 超戦士 ＩＮ 闘強導夢	バリエ	9800
389	1993/9/17	課長 島耕作 スーパービジネスアドベンチャー	ユタカ	9800
390	1993/9/17	ＮＦＬフットボール	コナミ	9000
391	1993/9/17	ファイナルセット	フォーラム	8500
392	1993/9/19	トルネコの大冒険 不思議のダンジョン	チュンソフト	9600
393	1993/9/22	戦国伝承	データイースト	8800
394	1993/9/22	マスターズ 遙かなるオーガスタ２	T&Eソフト	9900
395	1993/9/23	ＳＤ機動戦士ガンダム２	エンジェル	8800
396	1993/9/23	ＧＳ美神 除霊師はナイスバディ (ゴーストスイーパー美神）	バナレックス	8800
397	1993/9/24	ダライアスフォース	タイトー	8800
398	1993/9/24	ＧＯ！ＧＯ！ドッジリーグ	パック・イン・ビデオ	7800
399	1993/9/24	本格麻雀 徹萬	ナグザット	7800
400	1993/9/30	東尾修監修 スーパープロ野球スタジアム	徳間書店インターメディアカンパニー	8900
401	1993/10/1	ＴＲＩＮＥＡ -トリネア-	やのまん	9800
402	1993/10/1	レッド・オクトーバー	アルトロン	8800
403	1993/10/1	スーパー３Ｄベースボール	ジャレコ	12800
404	1993/10/8	バイキングの大迷惑	T&Eソフト	8800
405	1993/10/8	スーパー競走馬 風のシルフィード	キングレコード	9300
406	1993/10/15	スズカエイトアワーズ	ナムコ	8800
407	1993/10/21	スーパーカジノ シーザースパレス	ココナッツジャパンエンターテイメント	8900
408	1993/10/22	ミラクルガールズ ともみとみかげの不思議世界の大冒険	タカラ	8800
409	1993/10/22	ＡＲＣＵＳ ＳＰＩＲＩＴＳ (アークス・スピリッツ)	サミー	8900
410	1993/10/22	らんま１／２ 朱猫団的秘宝	東宝、小学館プロダクション	9800
411	1993/10/29	アクトレイザー２ 沈黙への聖戦	エニックス	9300
412	1993/10/29	龍虎の拳	ケイ・アミューズメントリース	9800
413	1993/10/29	装甲騎兵ボトムズ ザ・バトリングロード	タカラ	9800
414	1993/10/29	クラシック・ロード	ビクターエンタテインメント	9800
415	1993/10/29	スーパーチャイニーズワールド２	カルチャーブレーン	9800
416	1993/10/29	超時空要塞マクロス スクランブルバルキリー	バンプレスト、ザムス	8800
417	1993/10/29	ユートピア	エピック・ソニーレコード	9500
418	1993/10/29	はた山ハッチのパロ野球ニュース！実名版	エポック社	9800
419	1993/10/29	ジミーコナーズのプロテニスツアー	ミサワエンターテインメント	8900
420	1993/10/29	スーパーニチブツマージャン２ 全国制覇篇	日本物産	9800
421	1993/10/29	将棋 風林火山	ポニーキャニオン	8800
422	1993/11/5	アクタリオン	テクモ	8900
423	1993/11/5	ファイナルノックアウト	パック・イン・ビデオ	8800
424	1993/11/12	仮面ライダー	バンダイ	9800
425	1993/11/12	ＳｏｌｓｔｉｃｅⅡ(ソルスティス2)	エピック・ソニーレコード	9500
426	1993/11/12	ファイナル・ストレッチ	ロジーク	9800
427	1993/11/12	若貴大相撲 夢の兄弟対決	イマジニア	9800
428	1993/11/12	スーパーＵＮＯ	トミー	8500
429	1993/11/19	バトルマスター 究極の戦士たち	東芝EMI	9800
430	1993/11/19	イースIV Ｍａｓｋ ｏｆ Ｔｈｅ Ｓｕｎ	トンキンハウス	9800
431	1993/11/19	パチスロ ラブストーリー	ココナッツジャパンエンターテイメント	9800
432	1993/11/19	遊人 雀獣学園	バリエ	8900
433	1993/11/23	ＲＩＤＤＩＣＫ ＢＯＷＥ ＢＯＸＩＮＧ　（リディック･ボウ ボクシング）	マイクロネット	8400
434	1993/11/26	アルディライトフット	アスキー	9800
435	1993/11/26	アラジン	カプコン	9000
436	1993/11/26	餓狼伝説２	タカラ	9980
437	1993/11/26	アクセルブリッド	トミー	9800
438	1993/11/26	ヤダモン ワンダランドドリーム	徳間書店	8800
439	1993/11/26	スーパーＨ．Ｑ．クリミナルチェイサー	タイトー	8900
440	1993/11/26	アレサ(ＡＲＥＴＨＡ)	やのまん	9800
441	1993/11/26	Ｆ－１５スーパーストライクイーグル	アスミック	9600
442	1993/11/26	ダイナミックスタジアム	サミー	8500
443	1993/11/26	武田修宏のスーパーカップサッカー	ジャレコ	9500
444	1993/11/26	鬼塚勝也スーパーバーチャルボクシング	ソフエル	9800
445	1993/11/26	テクモスーパーボウル	テクモ	9800
446	1993/11/26	ＡＢＣマンデーナイトフットボール	データイースト	9000
447	1993/11/26	実戦パチスロ必勝法	サミー	9500
448	1993/11/27	ガイア幻想紀	エニックス	9800
449	1993/11/30	Ｓｏｕｌ＆Ｓｗｏｒｄ (ソウル アンド ソード)	バンプレスト、ザムス	9800
450	1993/12/2	スーパー麻雀２ 本格４人打ち	アイマックス	8800
451	1993/12/3	Ｔ．Ｍ．Ｎ．Ｔ．ミュータントウォーリアーズ	コナミ	9800
452	1993/12/3	ＮＢＡプロバスケットボール’９４ ブルズＶＳサンズ	EAV	9800
453	1993/12/3	スーパー究極ハリキリスタジアム	タイトー	9500
454	1993/12/3	喜国雅彦の雀闘士銅鑼王２	POW	8900
455	1993/12/9	信長の野望・覇王伝	光栄	12800
456	1993/12/10	プロック	アクティビジョンジャパン	8900
457	1993/12/10	クールスポット	ヴァージンゲーム	8900
458	1993/12/10	競馬エイトスペシャル (秘)馬券購入術	ミサワエンターテインメント	9000
459	1993/12/10	す～ぱ～ぷよぷよ	バンプレスト	8200
460	1993/12/10	ロマンシング サ・ガ２	スクウェア	9900
461	1993/12/10	Ｒ－ＴＹＰＥⅢ (アールタイプ3）	アイレム	9800
462	1993/12/10	白熱プロ野球’９４ガンバリーグ３	エピック・ソニーレコード	8900
463	1993/12/10	決戦！ドカポン王国Ⅳ 伝説の勇者たち	アスミック	8900
464	1993/12/17	ドラえもん２ のび太のトイズランド大冒険	エポック社	8000
465	1993/12/17	ロックマンＸ	カプコン	9500
466	1993/12/17	ラッシング・ビート修羅	ジャレコ	9700
467	1993/12/17	アルカエスト	スクウェア	8800
468	1993/12/17	ドラゴンボールZ 超武闘伝２	バンダイ	9800
469	1993/12/17	スーパー・スター・ウォーズ帝国の逆襲	ビクターエンタテインメント	9800
470	1993/12/17	ワンダラス マジック	アスキー	9800
471	1993/12/17	歴史大河RPG 夢幻の如く	インテック	9800
472	1993/12/17	ドラッキーの草やきう	イマジニアズーム	9800
473	1993/12/17	ダウンタウン熱血べーすぼーる物語	テクノスジャパン	9800
474	1993/12/17	パチンコウォーズ２	ココナッツジャパンエンターテイメント	9800
475	1993/12/17	ホーリーストライカー	ヘクト	8800
476	1993/12/18	ドラゴンクエストⅠ・Ⅱ	エニックス	9600
477	1993/12/22	がんばれ大工の源さん	アイレム	8900
478	1993/12/22	スペース・ファンキーＢ．Ｏ．Ｂ．	EAV	8900
479	1993/12/22	がんばれゴエモン２ 奇天烈将軍マッギネス	コナミ	9800
480	1993/12/22	フラッシュバック	サンソフト	9600
481	1993/12/22	キング・オブ・ザ・モンスターズ２	タカラ	9800
482	1993/12/22	ＢＩＮＧ ＢＩＮＧ！ＢＩＮＧＯ　（ビンビンビンゴ）	ケイエスエス	8900
483	1993/12/22	へべれけのぽぷーん	サンソフト	8200
484	1993/12/22	トップレーサー２	ケムコ	8500
485	1993/12/22	超ゴジラ	東宝	9800
486	1993/12/22	幽☆遊☆白書	ナムコ	9600
487	1993/12/22	エースをねらえ！	日本テレネット	9400
488	1993/12/24	モータルコンバット	アクレイム ジャパン	9800
489	1993/12/24	北斗の拳７ 聖剣列伝 伝承者への道	東映動画	9700
490	1993/12/24	リトルマジック	アルトロン	8900
491	1993/12/24	テトリス 武闘外伝	BPS	8000
492	1993/12/24	ヒューマングランプリ２	ヒューマン	9500
493	1993/12/24	モンスターメーカー３	ソフエル	9800
494	1993/12/24	新 桃太郎伝説	ハドソン	9800
495	1993/12/24	NFL プロフットボール’９４	EAV	9800
496	1993/12/25	美神伝説Ｚｏｋｕ	マジファクト	9800
497	1993/12/28	サッカーキッド	やのまん	8800
498	1993/12/28	全日本プロレスダッシュ 世界最強タッグ	日本コンピュータシステム	9800
499	1993/12/29	美少女戦士セーラームーンＲ	バンダイ	9800
500	1993/12/29	横山光輝 三国志Ⅱ	エンジェル	9800
501	1993/12/29	スーパーファイヤープロレスリング３ ファイナルバウト	ヒューマン	9700
502	1994/1/3	ロックンロールレーシング	ナムコ	7900
503	1994/1/7	ツインビー レインボーベルアドベンチャー	コナミ	9000
504	1994/1/7	バトルトード イン バトルマニアック	日本コンピュータシステム	9800
505	1994/1/7	ワールドクラスラグビー２ 国内激闘編’９３	ミサワエンターテインメント	9300
506	1994/1/8	スーパーピンボール ビハインド ザ マスク	メルダック	9800
507	1994/1/14	必勝７７７ファイター パチスロ竜宮伝説	バップ	9500
508	1994/1/21	スーパーテトリス２＋ボンブリス 限定版	BPS	8500
509	1994/1/21	ファイアーエムブレム 紋章の謎	任天堂	9800
510	1994/1/28	バスタード！ 暗黒の破壊神	コブラチーム	9800
511	1994/1/28	ザ・ニンジャウォーリアーズ アゲイン	タイトー	9300
512	1994/1/28	ザ・グレイトバトル外伝２ 祭だワッショイ	バンプレスト	9500
513	1994/1/28	ブレインロード	エニックス	9600
514	1994/1/28	ガイアセイバー ヒーロー最大の作戦	バンプレスト	9800
515	1994/1/28	鋼鉄の騎士２ 砂漠のロンメル軍団	アスミック	12800
516	1994/1/28	魔神転生	アトラス	9800
517	1994/2/4	オリビアのミステリー	アルトロン	9800
518	1994/2/4	スーパーファイヤープロレスリング３ イージータイプ	ヒューマン	7900
519	1994/2/4	伊藤果六段の将棋道場	アスク講談社	9600
520	1994/2/10	ウルフェンシュタイン３Ｄ	イマジニア	9800
521	1994/2/11	バーチャルウォーズ	ココナッツジャパンエンターテイメント	11000
522	1994/2/11	ソード・マニアック	東芝EMI	8800
523	1994/2/11	緋王伝 魔物達との誓い	ウルフ・チーム	11800
524	1994/2/11	トップマネジメントⅡ	光栄	14800
525	1994/2/11	スーパーヅガン ハコテン城からの招待状	EAV	8800
526	1994/2/18	迦楼羅王 (カルラオウ)	エピック・ソニーレコード	8900
527	1994/2/18	戦え原始人３ 主役はやっぱりＪＯＥ＆ＭＡＣ	データイースト	8500
528	1994/2/18	鉄腕アトム	バンプレスト、ザムス	9000
529	1994/2/18	ダービースタリオンⅡ	アスキー	12800
530	1994/2/18	デザートファイター	セタ	9800
531	1994/2/25	総合格闘技 アストラルバウト２	キングレコード	9700
532	1994/2/25	サイボーグ００９	ベック	8800
533	1994/2/25	宇宙レース アストロゴー！ゴー！	メルダック	9800
534	1994/2/25	Ｔ－２ ザ・アーケードゲーム	アクレイム ジャパン	8900
535	1994/2/25	大航海時代Ⅱ	光栄	11800
536	1994/2/25	ラモス瑠偉のワールドワイドサッカー	パック・イン・ビデオ	9500
537	1994/2/25	ストバスヤロウ将	ビーアイ	9000
538	1994/2/25	パチスロランド ぱちぱちコインの伝説	カロッツェリアジャパン	9800
539	1994/2/26	いただきストリート２ ネオンサインはバラ色に	エニックス	9800
540	1994/2/28	スーパー本命 ＧⅠ制覇	日本物産	9800
541	1994/3/4	ザ・キングオブドラゴンズ	カプコン	9800
542	1994/3/4	スーパーループス	イマジニア	8900
543	1994/3/4	カブキロックス	アトラス	9800
544	1994/3/4	ジーコ サッカー	EAV	9800
545	1994/3/4	スーパーファミスタ３	ナムコ	8800
546	1994/3/11	すごいへべれけ	サンソフト	8900
547	1994/3/11	機動戦士Vガンダム	バンダイ	9800
548	1994/3/11	ファーストクィーン オルニック戦記	カルチャーブレーン	9800
549	1994/3/11	ギャラクシーロボ	イマジニア	9800
550	1994/3/11	斬IIIスピリッツ	日本テレネット、ウルフ・チーム	12800
551	1994/3/11	実況パワフルプロ野球’９４	コナミ	9000
552	1994/3/11	リーサルエンフォーサーズ	コナミ	9800
553	1994/3/18	ソニックブラストマンⅡ	タイトー	9500
554	1994/3/18	ダービージョッキー　騎手王への道	アスミック	9800
555	1994/3/18	きんぎょ注意報！とびだせ！ゲーム学園	ジャレコ	9800
556	1994/3/18	真・女神転生Ⅱ	アトラス	9990
557	1994/3/18	アイ・オブ・ザ・ビホルダー	カプコン	12800
558	1994/3/18	イデアの日	ショウエイシステム	9700
559	1994/3/18	独立戦争	光栄	11800
560	1994/3/18	スーパーナグザットオープン ゴルフで勝負だどらぼっちゃん	ナグザット	9500
561	1994/3/18	Jリーグスーパーサッカー	ハドソン	9500
562	1994/3/18	スーパー人生ゲーム	タカラ	9800
563	1994/3/18	サイド・ポケット	データイースト	8500
564	1994/3/18	あさめしまえにゃんこ	バンプレスト、ザムス	8800
565	1994/3/18	ぎゅわんぶらあ自己中心派２ ドラポンクエスト	パック・イン・ビデオ	8900
566	1994/3/19	スーパーメトロイド	任天堂	9800
567	1994/3/25	メルファンドストーリーズ	アスキー	9800
568	1994/3/25	スペースエース	イマジニア	9800
569	1994/3/25	南国少年パプワくん	エニックス	8800
570	1994/3/25	スーパートロールアイランド	ケムコ	8900
571	1994/3/25	ザ ブルークリスタルロッド	ナムコ	9800
572	1994/3/25	あらいぐま ラスカル	日本コンピュータシステム	8900
573	1994/3/25	けろけろけろっぴの冒険日記	キャラクターソフト	6980
574	1994/3/25	シャドウラン	データイースト	9800
575	1994/3/25	剣勇伝説ヤイバ (YAIBA)	バンプレスト	9800
576	1994/3/25	スペースインベーダー　ＴＨＥ ＯＲＩＧＩＮＡＬ ＧＡＭＥ	タイトー	4980
577	1994/3/25	スーパーロボット大戦ＥＸ	バンプレスト	9800
578	1994/3/25	チャンピオンズ ワールドクラスサッカー	アクレイム ジャパン	8900
579	1994/3/25	ロックマンズサッカー	カプコン	9000
580	1994/3/25	スーパーホッケー’９４	ヨネザワ	8900
581	1994/3/25	スーパーリアル麻雀PIV	セタ	9800
582	1994/3/25	スーパー五目ならべ 連珠	ナグザット	8800
583	1994/3/26	テレビアニメ スラムダンク　四強激突！！	バンダイ	9800
584	1994/3/30	マッスルボマー	カプコン	9980
585	1994/3/30	真・麻雀	コナミ	9000
586	1994/3/31	アンドレ・アガシ テニス	日本物産	8800
587	1994/4/1	スーパー インディ チャンプ	フォーラム	9200
588	1994/4/1	スーパーダブル役満	バップ	9000
589	1994/4/2	ファイナルファンタジーⅥ	スクウェア	11400
590	1994/4/6	項劉記	光栄	12800
591	1994/4/8	紫炎 ザ・ブレイドチェイサー	ダイナミック企画	9600
592	1994/4/8	NHL プロホッケー’９４	EAV	9800
593	1994/4/8	スーパー囲碁 碁王	ナグザット	14800
594	1994/4/15	ピンクパンサー	アルトロン	9500
595	1994/4/15	ろくでなしＢＬＵＥＳ 対決！東京四天王	バンダイ	9800
596	1994/4/15	夢迷宮 きぐるみ大冒険	ヘクト	9800
597	1994/4/22	Ｆ－１ ＧＲＡＮＤ ＰＲＩＸ ＰＡＲＴⅢ	ビデオシステム	9900
598	1994/4/22	メルヘンアドベンチャー コットン１００％	データム・ポリスター	9300
599	1994/4/22	機動警察パトレイバー	ベック	9800
600	1994/4/28	らんま１／２ 超技乱舞篇	東宝、小学館プロダクション	9980
601	1994/4/28	スーパーボンバーマン２	ハドソン	8500
602	1994/4/28	笑っていいとも！タモリンピック	アテナ	9500
603	1994/4/28	ダイナマイト・ザ・ラスベガス	ヴァージンゲーム	8900
604	1994/4/28	平成イヌ物語バウ ポップンスマッシュ！！	タカラ	7800
605	1994/4/28	スーパーパチスロマージャン	日本物産	9500
606	1994/4/28	フォーチュン・クエスト ダイスをころがせ！	バンプレスト、ザムス	9800
607	1994/4/29	新・熱血硬派 くにおたちの挽歌	テクノスジャパン	9800
608	1994/4/29	ダークキングダム	日本テレネット	9800
609	1994/4/29	ＮＢＡ ＪＡＭ (ジャム)	アクレイム ジャパン	9800
610	1994/4/29	ナイス ＤＥ ショット	アスク講談社	9800
611	1994/5/1	Ｊリーグエキサイトステージ’９４	エポック社	9800
612	1994/5/13	伊達公子のバーチャルテニス	ビーアイ	9000
613	1994/5/20	パチ夫くんＳＰＥＣＩＡＬ２	ココナッツジャパンエンターテイメント	9980
614	1994/5/27	ファイターズヒストリー	データイースト	9800
615	1994/5/27	クレヨンしんちゃん２ 大魔王の逆襲	バンダイ	6800
616	1994/5/27	競馬予想 馬券錬金術	ケイエスエス	9500
617	1994/5/27	くにおのおでん	テクノスジャパン	6900
618	1994/5/27	ドリフトキング　首都高バトル’９４ 土屋圭市＆坂東正明	BPS	9800
619	1994/5/27	スーパーバトルタンク２	パック・イン・ビデオ	9800
620	1994/5/27	ＳＤガンダムＧＸ	バンダイ	9800
621	1994/6/4	ワイルドトラックス	任天堂	9800
622	1994/6/8	サラブレッドブリーダーⅡ	ヘクト	12800
623	1994/6/10	ナイツ オブ ザ ラウンド	カプコン	9500
624	1994/6/10	幽☆遊☆白書２ 格闘の章	ナムコ	9600
625	1994/6/10	ぽっぷるメイル	日本ファルコム	8800
626	1994/6/14	スーパーゲームボーイ	任天堂	7000
627	1994/6/17	ＳＤ飛龍の拳	カルチャーブレーン	9800
628	1994/6/17	奇々怪界-月夜草子-	ナツメ	9500
629	1994/6/17	やまねこバブジーの大冒険	パック・イン・ビデオ	9800
630	1994/6/17	スーパー４ＷＤ ＴＨＥ ＢＡＪＡ(バハ)	日本物産	8800
631	1994/6/17	ウルティマ外伝 黒騎士の陰謀	EAV	9800
632	1994/6/17	ワールドカップストライカー	ココナッツジャパンエンターテイメント	9980
633	1994/6/17	スーパーフォーメーションサッカー’９４	ヒューマン	9800
634	1994/6/17	ＦＩＦＡ インターナショナル・サッカー	ビクターエンタテインメント	9800
635	1994/6/17	スーパー将棋２	アイマックス	9800
636	1994/6/24	バックス・バニー はちゃめちゃ大冒険	サンソフト	9200
637	1994/6/24	ジュラシック・パーク	ジャレコ	9800
638	1994/6/24	ジグザグキャット ダチョウ倶楽部も大騒ぎダ	DEN'Z	9500
639	1994/6/24	スレイヤーズ	バンプレスト	9800
640	1994/6/24	スーパードッグファイト	パック・イン・ビデオ	9800
641	1994/6/24	スーパービリヤード	イマジニア	9800
642	1994/6/25	スーパーストリートファイターⅡ	カプコン	10900
643	1994/6/25	ブランディッシュ	光栄	10800
644	1994/6/25	全日本プロレス ファイトだポン！	日本コンピュータシステム	9800
645	1994/6/28	テコンドー	ヒューマン	8900
646	1994/7/1	ワールドヒーローズ２	ザウルス	9980
647	1994/7/1	遊人のふりふりガールズ	POW	8900
648	1994/7/8	美女と野獣	ハドソン	8500
649	1994/7/8	テトリスフラッシュ	BPS	8000
650	1994/7/8	スラップスティック	エニックス	9600
651	1994/7/8	ドラッキーのAりーぐさっかー	イマジニアズーム	9800
652	1994/7/8	つり太郎	パック・イン・ビデオ	9800
653	1994/7/15	バトルＺＥＱＵＥ伝(ゼクウ)	アスミック	9800
654	1994/7/15	ジャングルブック	ヴァージンゲーム	9800
655	1994/7/15	キーパー	データム・ポリスター	7200
656	1994/7/15	美少女戦士セーラームーンＳ こんどはパズルでおしおきよ！	バンダイ	6800
657	1994/7/15	スーパーＦ１サーカス３	日本物産	9900
658	1994/7/15	ソード・ワールドＳＦＣ２　いにしえの巨人伝説	T&Eソフト	9900
659	1994/7/15	サンサーラ・ナーガ２	ビクターエンタテインメント	9800
660	1994/7/15	歌舞伎町リーチ麻雀 東風戦	ポニーキャニオン	8800
661	1994/7/15	パチスロ研究	魔法	9500
662	1994/7/22	グーフィーとマックス 海賊島の大冒険	カプコン	7800
663	1994/7/22	超原人	ハドソン	8800
664	1994/7/22	ジグソーパーティ	ホリ電機	8200
665	1994/7/22	ゼロヨンチャンプＲＲ	メディアリング	9980
666	1994/7/22	ファイプロ女子オールスタードリームスラム	ヒューマン	9500
667	1994/7/22	プロ麻雀 極Ⅱ	アテナ	9800
668	1994/7/28	スーパーウルトラベースボール２	カルチャーブレーン	9800
669	1994/7/29	ズールのゆめぼうけん	インフォコム	8800
670	1994/7/29	餓狼伝説ＳＰＥＣＩＡＬ	タカラ	10900
671	1994/7/29	ロードランナーツイン ジャスティとリバティの大冒険	T&Eソフト	8800
672	1994/7/29	天使の詩 白き翼の祈り	日本テレネット	9980
673	1994/7/29	ワールドカップUSA’９４	サンソフト	9800
674	1994/7/29	ハットトリックヒーロー２	タイトー	8900
675	1994/7/29	甲子園３	魔法	9800
676	1994/7/29	スーパーパチンコ	アイマックス	9800
677	1994/7/29	パチスロ物語ユニバーサル・スペシャル	ケイエスエス	9800
678	1994/7/29	スーパーニチブツマージャン３ 吉本劇場篇	日本物産	10800
679	1994/8/3	スーパーパワーリーグ２	ハドソン	9800
680	1994/8/5	Ｇ２ ジェノサイド	ケムコ	9800
681	1994/8/5	すーぱー忍者くん	ジャレコ	7900
682	1994/8/5	アリョール うごく絵Ver2.0	アルトロン	9800
683	1994/8/5	魔法ぽいぽい ぽいっと！	タカラ	8800
684	1994/8/5	鬼神降臨伝ＯＮＩ	バンプレスト	9800
685	1994/8/5	スーパー高校野球 一球入魂	アイマックス	9800
686	1994/8/5	Jリーグサッカー プライムゴール２	ナムコ	8800
687	1994/8/5	スーパー花札	アイマックス	8800
688	1994/8/5	Ｐｉｎｂａｌｌ ＰＩＮＢＡＬＬ	ココナッツジャパンエンターテイメント	9980
689	1994/8/12	ザ・フリントストーンズ	タイトー	8500
690	1994/8/12	レミングス２	サンソフト	9800
691	1994/8/12	ＷＩＬＤ ＧＵＮＳ (ワイルド ガンズ)	ナツメ	9200
692	1994/8/12	スーパー三國志	光栄	9800
693	1994/8/12	スーパー究極ハリキリスタジアム２	タイトー	9500
694	1994/8/12	新日本プロレスリング’９４ バトルフィールド ＩＮ 闘強導夢	バリエ	11800
695	1994/8/12	スーパーファイナルマッチテニス	ヒューマン	8900
696	1994/8/12	ポパイ いじわる魔女シーハッグの巻	テクノスジャパン	9500
697	1994/8/19	麻雀悟空 天竺	シャノアール	9800
698	1994/8/19	必勝７７７ファイターⅡ パチスロ(秘)情報	バップ	9500
699	1994/8/26	アップルシード プロメテウスの神託	ヴィジット	9800
700	1994/8/26	押忍！！ 空手部	カルチャーブレーン	10800
701	1994/8/26	スーパードラッケン	ケムコ	9800
702	1994/8/26	松村邦洋伝 最強の歴史をぬりかえろ！	ショウエイシステム	9900
703	1994/8/26	ハロー！パックマン	ナムコ	8300
704	1994/8/26	サイバーナイトⅡ 地球帝国の野望	トンキンハウス	9900
705	1994/8/26	横綱物語	ケイエスエス	9800
706	1994/8/27	MOTHER２ ギーグの逆襲 (マザー２）	任天堂	9800
707	1994/8/31	サンリオ上海	キャラクターソフト	6980
708	1994/8/31	へべれけのおいしいパズルはいりませんか	サンソフト	8900
709	1994/9/2	ライブ・ア・ライブ	スクウェア	9900
710	1994/9/9	ザ・ファイヤーメン	ヒューマン	9300
711	1994/9/9	チョップリフターⅢ	ビクターエンタテインメント	7800
712	1994/9/15	スパークスター	コナミ	9800
713	1994/9/15	上海Ⅲ	サンソフト	8900
714	1994/9/16	おでかけレスタ～れれれのれ	アスミック	8900
715	1994/9/16	リーディングジョッキー	カロッツェリアジャパン	9800
716	1994/9/16	実戦パチスロ必勝法２	サミー	9980
717	1994/9/18	ジャングルの王者ターちゃん 世界漫遊大格闘の巻	バンダイ	8800
718	1994/9/20	描いて・作って・遊べる デザエモン	アテナ	12900
719	1994/9/21	カービィボウル	任天堂	7900
720	1994/9/22	サムライスピリッツ	タカラ	10900
721	1994/9/22	リブルラブル	ナムコ	6300
722	1994/9/22	中嶋悟監修 Ｆ－１ ＨＥＲＯ’９４	バリエ	9800
723	1994/9/22	ウィザップ！ 暗黒の王	アスキー	9900
724	1994/9/22	ラリー・ニクソン・スーパー・バスフィッシング	キングレコード	9800
725	1994/9/22	スーパーフォーメーションサッカー’９４ ワールドカップファイナルデータ	ヒューマン	9800
726	1994/9/22	本家　花札	イマジニア	9800
727	1994/9/23	ゴーストチェイサー 電精	バンプレスト	9800
728	1994/9/23	アンジェリーク	光栄	9800
729	1994/9/23	スーパーブラックバス２	スターフィッシュデータ	9800
730	1994/9/23	ＴＯＫＯＲＯ’Ｓ マージャン	ビック東海	9500
731	1994/9/23	麻雀戦国物語	四次元	9300
732	1994/9/29	ドラゴンボールZ 超武闘伝３	バンダイ	9800
733	1994/9/30	クラッシュ・ダミー	アクレイム ジャパン	8900
734	1994/9/30	バーチャルバート	アクレイム ジャパン	9800
735	1994/9/30	競馬エイトスペシャル２	イマジニア	9980
