No	発売日	タイトル	メーカー	価格
736	1994/9/30	タイニー・トゥーンアドベンチャーズ～ドタバタ大運動会～	コナミ	9000
737	1994/9/30	バイク大好き！走り屋魂	日本コンピュータシステム	9600
738	1994/9/30	ヒューマングランプリ３ Ｆ１トリプルバトル	ヒューマン	10500
739	1994/9/30	ダウン・ザ・ワールド	アスキー	9800
740	1994/9/30	天龍源一郎のプロレスレヴォリューション	ジャレコ	9800
741	1994/9/30	バークレーのパワーダンク	DEN'Z	9200
742	1994/9/30	麻雀大会Ⅱ	光栄	9800
743	1994/10/7	ノスフェラトゥ	セタ	9800
744	1994/10/7	ＭＲ．ＮＵＴＺ	ソフエル	8800
745	1994/10/7	シヴィライゼーション 世界七大文明	アスミック	12800
746	1994/10/14	豪血寺一族	アトラス	10500
747	1994/10/14	UFO仮面 ヤキソバン  ケストラーの黒い陰謀	DEN'Z	5890
748	1994/10/15	パチンコファン 勝利宣言	POW	9800
749	1994/10/16	下野正希のＦｉｓｈｉｎｇ Ｔｏ Ｂａｓｓｉｎｇ	ナツメ	9800
750	1994/10/19	はらぺこバッカ	魔法	4980
751	1994/10/21	デモンズ・ブレイゾン　魔界村紋章編	カプコン	9800
752	1994/10/21	キッドクラウンのクレイジーチェイス	ケムコ	8800
753	1994/10/21	スーパーファミリーサーキット	ナムコ	8800
754	1994/10/21	ヘラクレスの栄光IV 神々からの贈り物	データイースト	9900
755	1994/10/21	船木誠勝ＨＹＢＲＩＤ ＷＲＥＳＴＬＥＲ 闘技伝承	テクノスジャパン	9800
756	1994/10/21	スーパーラグビー	トンキンハウス	9000
757	1994/10/21	必殺パチンココレクション	サンソフト	9800
758	1994/10/21	本格麻雀 徹萬Ⅱ	ナグザット	8900
759	1994/10/28	化学者ハリーの波乱万丈	アルトロン	8900
760	1994/10/28	少年忍者サスケ	サンソフト	9800
761	1994/10/28	爆投ドッチャーズ バンプス島は大さわぎ	BPS	8500
762	1994/10/28	スーパーカジノ２	ココナッツジャパンエンターテイメント	9800
763	1994/10/28	ドラッキーのパズルツアー’９４	イマジニアズーム	8200
764	1994/10/28	真・女神転生if…	アトラス	9990
765	1994/10/28	イルバニアンの城	日本クラリービジネス	9980
766	1994/10/28	フェーダ(ＦＥＤＡ) エンブレム オブ ジャスティス	やのまん	9990
767	1994/10/28	テクモスーパーベースボール	テクモ	9800
768	1994/10/28	マルチプレイバレーボール	パック・イン・ビデオ	8900
769	1994/10/28	ＤＥＡＲ ＢＯＹＳ	ユタカ	9800
770	1994/10/28	卒業番外篇 ねぇ麻雀しよ！	ケイエスエス	9800
771	1994/10/28	本格派囲碁 碁聖	タイトー	14800
772	1994/10/28	ＳＡＮＫＹＯ Ｆｅｖｅｒ！フィーバー！	日本テレネット	9800
773	1994/11/11	モータルコンバットⅡ 究極神拳	アクレイム ジャパン	11800
774	1994/11/11	ミッキーとミニー マジカルアドベンチャー２	カプコン	9500
775	1994/11/11	ファイヤー・ファイティング	ジャレコ	9890
776	1994/11/11	ゴン	バンダイ	8800
777	1994/11/11	実況ワールドサッカー ＰＥＲＦＥＣＴ ＥＬＥＶＥＮ	コナミ	9980
778	1994/11/18	鋼 ＨＡＧＡＮＥ	ハドソン	9500
779	1994/11/18	パニックイン なかよしワールド	バンダイ	6800
780	1994/11/18	花の慶次-雲のかなたに-	四次元	9800
781	1994/11/18	中野浩一監修 競輪王	ココナッツジャパンエンターテイメント	9980
782	1994/11/18	ツヨシしっかりしなさい 対戦ぱずるだま	コナミ	8500
783	1994/11/18	ＧＰ－１ ＲＳ（ラピッドストリーム）	アトラス	9800
784	1994/11/18	マグナブラバン 遍歴の勇者	アスク講談社	9800
785	1994/11/18	ウルティマⅦ ザ・ブラックゲート	ポニーキャニオン	9800
786	1994/11/18	ミリティア	ナムコ	8800
787	1994/11/18	ドリームバスケットボール ＤＵＮＫ＆ＨＯＯＰ	ヒューマン	9600
788	1994/11/18	モンスターメーカーキッズ 王様になりたい	ソフエル	9200
789	1994/11/18	スーパー五目・将棋 定跡研究篇	日本物産	9500
790	1994/11/18	パチンコ(秘)必勝法	バップ	9800
791	1994/11/18	遊人 雀獣学園２	バリエ	9800
792	1994/11/25	かまいたちの夜	チュンソフト	10800
793	1994/11/25	なるほど！ザ・ワールド	トミー	9500
794	1994/11/25	ノンタンといっしょ くるくるぱずる	ビクターエンタテインメント	7800
795	1994/11/25	極上パロディウス	コナミ	9800
796	1994/11/25	武田修宏のスーパーリーグサッカー	ジャレコ	9800
797	1994/11/25	バトルサッカー２	バンプレスト	8800
798	1994/11/25	全国高校サッカー	四次元	9800
799	1994/11/25	スーパー麻雀３ 辛口	アイマックス	9800
800	1994/11/25	元祖パチスロ日本一	ココナッツジャパンエンターテイメント	9980
801	1994/11/25	大爆笑人生劇場 大江戸日記	タイトー	9000
802	1994/11/25	ただいま勇者募集中 おかわり	ヒューマン	9900
803	1994/11/26	スーパードンキーコング	任天堂	9800
804	1994/12/2	制服伝説 プリティファイター	イマジニア	9980
805	1994/12/2	ストリートレーサー	UBIソフト	9200
806	1994/12/2	ブレス オブ ファイアⅡ 使命の子	カプコン	9980
807	1994/12/2	ザ・ラストバトル	テイチク	9800
808	1994/12/2	アレサⅡ(ＡＲＥＴＨＡ２) アリエルの不思議な旅	やのまん	9900
809	1994/12/2	ドカポン３・２・１ 嵐を呼ぶ友情	アスミック	9600
810	1994/12/9	ライオン・キング	ヴァージンゲーム	9980
811	1994/12/9	ゴジラ 怪獣大決戦	東宝	9980
812	1994/12/9	ワンダープロジェクトJ 機械の少年ピーノ	エニックス	11800
813	1994/12/9	牌砦	タカラ	8800
814	1994/12/9	バトルクロス	イマジニア	9800
815	1994/12/9	ヴォルテックス	パック・イン・ビデオ	9900
816	1994/12/9	三國志Ⅳ	光栄	14800
817	1994/12/9	キャプテン翼Ｖ 覇者の称号カンピオーネ	テクモ	9980
818	1994/12/9	すごろクエスト＋＋-ダイスニクス-	テクノスジャパン	9900
819	1994/12/9	スーパー桃太郎電鉄Ⅲ	ハドソン	9500
820	1994/12/16	ドラえもん３  のび太と時の宝玉	エポック社	9500
821	1994/12/16	美少女戦士セーラームーンＳ 場外乱闘！？ 主役争奪戦	エンジェル	9980
822	1994/12/16	ロックマンＸ２	カプコン	9800
823	1994/12/16	がんばれゴエモン３ 獅子重禄兵衛のからくり卍固め	コナミ	9800
824	1994/12/16	ミッキーの東京ディズニーランド大冒険	トミー	9800
825	1994/12/16	ワギャンパラダイス	ナムコ	8800
826	1994/12/16	どっすん！岩石バトル	アイマックス	8800
827	1994/12/16	スーパーテトリス３	BPS	8500
828	1994/12/16	スーパースネーキー	四次元	7800
829	1994/12/16	ナイジェルマンセル・インディカー	アクレイム ジャパン	10900
830	1994/12/16	ＦＵＬＬ ＰＯＷＥＲ	ココナッツジャパンエンターテイメント	11000
831	1994/12/16	海釣り名人～スズキ編～	EAV	9800
832	1994/12/16	ＮＢＡ ＬＩＶＥ’９５	EAV	9800
833	1994/12/16	スーパーレッスルエンジェルス	イマジニア	9980
834	1994/12/16	蒼き伝説 シュート！	ケイエスエス	10800
835	1994/12/16	スーパーフィッシング ビッグファイト	ナグザット	9800
836	1994/12/16	スキーパラダイスＷＩＴＨスノーボード	パック・イン・ビデオ	8900
837	1994/12/16	ビッグ一撃！パチスロ大攻略	アスク講談社	9800
838	1994/12/16	花札王	ココナッツジャパンエンターテイメント	8980
839	1994/12/16	祇園花	日本物産	7980
840	1994/12/16	必勝！パチスロファン	POW	9800
841	1994/12/16	スーパー詰将棋１０００	ボトムアップ	9800
842	1994/12/17	ザ・グレイトバトルⅣ	バンプレスト	9600
843	1994/12/20	テクモスーパーボウルⅡ ＳＰＥＣＩＡＬ ＥＤＩＴＩＯＮ	テクモ	9980
844	1994/12/21	龍虎の拳２	ザウルス	10900
845	1994/12/21	岡本綾子とマッチプレイゴルフ　コ･オリナゴルフクラブINハワイ	ツクダオリジナル	9700
846	1994/12/22	アニマル武乱伝 ブルータル	ケムコ	9800
847	1994/12/22	ライズ オブ ザ ロボッツ	T&Eソフト	10900
848	1994/12/22	ポコニャン！ へんぽこりんアドベンチャー	東宝	8800
849	1994/12/22	バトルジョッキー	ヴァージンゲーム	9800
850	1994/12/22	はしれ へべれけ	サンソフト	9500
851	1994/12/22	大貝獣物語	ハドソン	10900
852	1994/12/22	覇王大系リューナイトト ロード･オブ･パラディン	バンダイ	9800
853	1994/12/22	アルバートオデッセイ２ 邪神の胎動	サンソフト	9980
854	1994/12/22	幽☆遊☆白書 特別篇	ナムコ	9800
855	1994/12/22	パワー オブ ザ ハイアード	日本コンピュータシステム	9800
856	1994/12/22	スーパー・キャッスルズ	ビクターエンタテインメント	9800
857	1994/12/22	サンスポフィッシング 渓流王	イマジニア	9980
858	1994/12/22	ウルトラベースボール実名版２	カルチャーブレーン	9800
859	1994/12/22	スーパーファイヤープロレスリング スペシャル	ヒューマン	11500
860	1994/12/22	本格将棋 風雲児龍王	ヴァージンゲーム	9800
861	1994/12/22	横山光輝 三国志盤戯 スゴロク英雄記	エンジェル	9800
862	1994/12/22	元祖パチンコ王	ココナッツジャパンエンターテイメント	9980
863	1994/12/22	麻雀倶楽部	ヘクト	4980
864	1994/12/23	海腹川背	TNN	9800
865	1994/12/23	ＧＯ ＧＯ ＡＣＫＭＡＮ	バンプレスト	9000
866	1994/12/23	ＪＷＰ女子プロレス ピュア・レッスル・クイーンズ	ジャレコ	9800
867	1994/12/23	スーパー燃えろ！！ プロ野球	ジャレコ	9800
868	1994/12/23	パチスロ勝負師(ギャンブラー)	日本物産	8980
869	1994/12/27	ルパン三世 伝説の秘宝を追え！	エポック社	9800
870	1994/12/27	機動武闘伝Ｇガンダム	バンダイ	9800
871	1994/12/29	デュアルオーブⅡ	アイマックス	10800
872	1994/12/30	スーパーヅガン２ ツカンポファイター	J・ウイング	9980
873	1995/1/3	Ｘ－ＭＥＮ	カプコン	9980
874	1995/1/3	ボンカーズ-ハリウッド大作戦！	カプコン	8500
875	1995/1/3	スーパーチャイニーズファイター	カルチャーブレーン	9800
876	1995/1/3	パックインタイム	ナムコ	7900
877	1995/1/3	高橋名人の大冒険島Ⅱ	ハドソン	9500
878	1995/1/3	ＹＯＧＩ ＢＥＡＲ	マジファクト	8800
879	1995/1/13	パズルボブル	タイトー	6800
880	1995/1/13	ギャラクシーウォーズ	イマジニア	5980
881	1995/1/13	わくわくスキー わんだあシュプール	ヒューマン	9600
882	1995/1/13	実戦！麻雀指南	アスク講談社	9800
883	1995/1/13	雀遊記 悟空乱打	ヴァージンゲーム	8900
884	1995/1/20	ダービースタリオンⅢ	アスキー	12800
885	1995/1/20	マイケル・アンドレッティ インディカーチャレンジ	BPS	9800
886	1995/1/20	スターダストスープレックス	バリエ	9980
887	1995/1/27	ウルヴァリン	アクレイム ジャパン	10900
888	1995/1/27	鋼鉄の騎士３　突撃ヨーロッパ戦線	アスミック	12800
889	1995/1/27	みらくるカジノパラダイス	カロッツェリアジャパン	9800
890	1995/1/27	パチンコ物語２ 名古屋シャチホコの帝王	ケイエスエス	9800
891	1995/1/27	キテレツ大百科 超時空すごろく	ビデオシステム	8900
892	1995/2/3	放課後 ｉｎ Ｂｅｐｐｉｎ 女学院	イマジニア	9980
893	1995/2/10	アイアンコマンドー 鋼鉄の戦士	ポッポ	9800
894	1995/2/10	ザ・心理ゲーム２ マジカルトリップ	ヴィジット	8800
895	1995/2/10	ジャムズ	カロッツェリアジャパン	7800
896	1995/2/10	だるま道場	DEN'Z	8800
897	1995/2/10	機動戦士ガンダム クロスディメンション００７９	バンダイ	9800
898	1995/2/10	さいばらりえこのまあじゃんほうろうき	タイトー	9800
899	1995/2/13	ＢＳ－Ｘ  それは名前を盗まれた街の物語	任天堂	18000
900	1995/2/17	ファイターズヒストリー 溝口危機一髪	データイースト	9900
901	1995/2/17	ヤムヤム	バンダイ	9800
902	1995/2/17	タイムコップ	ビクターエンタテインメント	9800
903	1995/2/17	提督の決断Ⅱ	光栄	14800
904	1995/2/17	柏木重孝のＴＯＰ ＷＡＴＥＲ ＢＡＳＳＩＮＧ (トップウォーターバッシング)	バップ	14800
905	1995/2/17	チェスマスター	アルトロン	9800
906	1995/2/17	銀玉親方の実戦パチンコ必勝法	サミー	10500
907	1995/2/19	魔神転生Ⅱ スパイラルネメシス	アトラス	10800
908	1995/2/24	クラシック・ロードⅡ	ビクターエンタテインメント	12800
909	1995/2/24	Ｔｕｒｆ Ｍｅｍｏｒｉｅｓ	ベック	11600
910	1995/2/24	美少女戦士セーラームーンS くるっくりん	バンダイ	6800
911	1995/2/24	ドリフトキング　首都高バトル２	BPS	9800
912	1995/2/24	スーパードリフトアウト	ビスコ	9980
913	1995/2/24	エストポリス伝記Ⅱ	タイトー	9980
914	1995/2/24	ＦＲＯＮＴ ＭＩＳＳＩＯＮ　（フロントミッション）	スクウェア	11400
915	1995/2/24	ＮＡＧＥ ＬＩＢＲＥ 静寂の水深	バリエ	9800
916	1995/2/24	ファーランドストーリー	バンプレスト	10800
917	1995/2/24	ＮＦＬ クォーターバッククラブ’９５	アクレイム ジャパン	11800
918	1995/2/24	ＮＢＡ ＪＡＭ トーナメントエディション	アクレイム ジャパン	11800
919	1995/2/24	実況パワフルプロ野球２	コナミ	9980
920	1995/2/24	テレビアニメ スラムダンク２　IH予選完全版！！	バンダイ	10800
921	1995/2/24	ＨＥＩＷＡパチンコワールド	ショウエイシステム	9900
922	1995/2/24	バトルピンボール	バンプレスト	6800
923	1995/2/24	将棋倶楽部	ヘクト	8800
924	1995/2/25	おとぼけ忍者コロシアム	インテック	8800
925	1995/2/25	永遠のフィレーナ	徳間書店インターメディアカンパニー	9800
926	1995/3/1	スーパーボンバーマン ぱにっくボンバーＷ	ハドソン	8900
927	1995/3/3	アンダーカバーコップス	バリエ	9800
928	1995/3/3	スーパーエアダイバー２	アスミック	9800
929	1995/3/3	スーパーファミスタ４	ナムコ	9500
930	1995/3/4	スーパーマッドチャンプ	ツクダオリジナル	9600
931	1995/3/4	ラストバイブルⅢ	アトラス	10800
932	1995/3/10	マジカルポップン	パック・イン・ビデオ	9800
933	1995/3/11	クロノ・トリガー	スクウェア	11400
934	1995/3/17	スパイダーマン リーサルフォーズ	エポック社	9800
935	1995/3/17	キャプテンコマンドー	カプコン	9800
936	1995/3/17	負けるな！魔剣道２ 決めろ！妖怪総理大臣	データム・ポリスター	9500
937	1995/3/17	スプリンター物語 めざせ一攫千金	バップ	12800
938	1995/3/17	スーパーボンブリス	BPS	7500
939	1995/3/17	おらがランド主催 ベストファーマー収穫祭	ビック東海	7800
940	1995/3/17	バトルレーサーズ	バンプレスト	9800
941	1995/3/17	熱血大陸バーニングヒーローズ	エニックス	10800
942	1995/3/17	ラブクエスト	徳間書店インターメディアカンパニー	9800
943	1995/3/17	第４次スーパーロボット大戦	バンプレスト	12800
944	1995/3/17	Jリーグスーパーサッカー’９５ 実況スタジアム	ハドソン	9980
945	1995/3/17	スーパー雀豪	ビクターエンタテインメント	9800
946	1995/3/17	スーパーピンボール２ ザ・アメージングオデッセイ	メルダック	9800
947	1995/3/18	ウイニングポスト２	光栄	12800
948	1995/3/21	ＴＵＲＦ ＨＥＲＯ	テクモ	12800
949	1995/3/24	ロックマン７ 宿命の対決！	カプコン	9800
950	1995/3/24	幽☆遊☆白書ＦＩＮＡＬ 魔界最強列伝	ナムコ	9800
951	1995/3/24	ドラゴンボールＺ 超悟空伝 突撃編	バンダイ	10800
952	1995/3/24	スーパー馬券王’９５	テイチク	9980
953	1995/3/24	ジ・アトラス	パック・イン・ビデオ	10800
954	1995/3/24	高速思考 将棋皇	イマジニア	12800
955	1995/3/24	必殺パチンココレクション２	サンソフト	9980
956	1995/3/25	エミット ｖｏｌ．１ 時の迷子	光栄	11800
957	1995/3/25	エミット ｖｏｌ．２ 命がけの旅	光栄	11800
958	1995/3/25	エミット ｖｏｌ．３ 私にさよならを	光栄	11800
959	1995/3/30	復刻版 スーパー三國志Ⅱ	光栄	9800
960	1995/3/30	京楽・三洋・豊丸 Ｐａｒｌｏｒ！パーラー！　（パーラーパーラー）	日本テレネット	11800
961	1995/3/31	ミッキーマニア	カプコン	9500
962	1995/3/31	であえ殿様 あっぱれ一番	サンソフト	9800
963	1995/3/31	エスパークス 異次空からの来訪者	トミー	9500
964	1995/3/31	ＲＰＧツクール ＳＵＰＥＲ ＤＡＮＴＥ	アスキー	9800
965	1995/3/31	最高速思考 将棋・麻雀	バリエ	9800
966	1995/3/31	旧約・女神転生	アトラス	10800
967	1995/3/31	史上最強リーグ セリエＡ Ａｃｅ Ｓｔｒｉｋｅｒ	TNN	9980
968	1995/3/31	スーパーフォーメーションサッカー’９５ ｄｅｌｌａ セリエＡ	ヒューマン	9980
969	1995/3/31	近代麻雀スペシャル	イマジニア	9800
970	1995/3/31	ザ・モノポリーゲーム２	トミー	11500
971	1995/3/31	羽生名人のおもしろ将棋	トミー	12000
972	1995/4/1	レディーストーカー 過去からの挑戦	タイトー	9980
973	1995/4/7	全日本プロレス２ ３・４武闘館	日本コンピュータシステム	10080
974	1995/4/10	Ｇｅｔ ｉｎ ｔｈｅ ｈｏｌｅ (レーザーバーディー付属カセット）	リコー	46800
975	1995/4/14	ＲＥＳ ＡＲＣＡＮＡ ディアーナ・レイ 占いの迷宮	ココナッツジャパンエンターテイメント	9500
976	1995/4/14	ぱずるんでス！	日本物産	8980
977	1995/4/21	なつきクライシスバトル	エンジェル	10800
978	1995/4/21	魔法陣グルグル	エニックス	10800
979	1995/4/21	アレサ外伝 リジョイス アレサ王国の彼方	やのまん	9900
980	1995/4/21	真・聖刻 ラ・ワース	ユタカ	9800
981	1995/4/21	ママレード・ボーイ	バンダイ	9800
982	1995/4/21	新ＳＤ戦国伝 大将軍列伝	ベック	9800
983	1995/4/21	タクティカルサッカー	EAV	9800
984	1995/4/21	スーパーリアル麻雀PVパラダイス オールスター４人打ち	セタ	9800
985	1995/4/21	宮路社長のパチンコファン勝利宣言２	POW	9800
986	1995/4/21	スーパートランプコレクション	ボトムアップ	8900
987	1995/4/28	トゥルーライズ	アクレイム ジャパン	10900
988	1995/4/28	スーパーボンバーマン３	ハドソン	8900
989	1995/4/28	ストーンプロテクターズ	ケムコ	9800
990	1995/4/28	３次元格闘ボールズ	メディアリング	9800
991	1995/4/28	タロットミステリー	ヴィジット	9800
992	1995/4/28	プラネットチャンプ　ＴＧ３０００	ケムコ	9500
993	1995/4/28	Ｊリーグエキサイトステージ’９５	エポック社	9800
994	1995/4/28	川のぬし釣り２	パック・イン・ビデオ	10800
995	1995/4/28	シミュレーションプロ野球	ヘクト	12800
996	1995/4/28	牌勢麻雀 凌駕	アスキー	12800
997	1995/4/28	初段位認定 初段プロ麻雀	ギャップス	9800
998	1995/4/28	スーパーパチンコ大戦	バンプレスト	6900
999	1995/5/19	スヌーピーコンサート	三井不動産、電通	9800
1000	1995/5/19	バトルタイクーン	ライトスタッフ	10980
1001	1995/5/19	スーパー競馬２	アイマックス	11800
1002	1995/5/19	シンジケート	EAV	9800
1003	1995/5/26	ウォーロック	アクレイム ジャパン	10900
1004	1995/5/26	スターゲイト	アクレイム ジャパン	10900
1005	1995/5/26	スパークワールド	DEN'Z	8500
1006	1995/5/26	グール・パトロール	ビクターエンタテインメント	8800
1007	1995/5/26	コンピュータ脳力解析 ウルトラ馬券	カルチャーブレーン	12800
1008	1995/5/26	ニチブツ アーケードクラシックス	日本物産	5980
1009	1995/5/26	す～ぱ～なぞぷよ ルルーのルー	バンプレスト	9200
1010	1995/5/26	シムシティ２０００	イマジニア	12800
1011	1995/5/26	早指し二段 森田将棋２	セタ	14900
1012	1995/5/26	パチンコ連チャン天国 スーパーＣＲスペシャル	バップ	9800
1013	1995/6/2	真髄対局囲碁 碁仙人	J・ウイング	15500
1014	1995/6/9	妖怪バスター ルカの大冒険	角川書店	8800
1015	1995/6/9	エルファリアⅡ	ハドソン	9980
1016	1995/6/10	本家・ＳＡＮＫＹＯ ＦＥＶＥＲ 実機シミュレーション	DEN'Z	10800
1017	1995/6/16	夜光虫	アテナ	10800
1018	1995/6/23	Ｍｒ．Ｄｏ！　（ミスタードゥ）	イマジニア	5980
1019	1995/6/23	Ｐマン	ケムコ	9200
1020	1995/6/23	アースワーム・ジム	タカラ	9800
1021	1995/6/23	スーパー・スター・ウォーズ ジェダイの復讐	ビクターエンタテインメント	10800
1022	1995/6/23	実戦競艇	イマジニア	11800
1023	1995/6/23	ルインアーム	バンダイ	10800
1024	1995/6/23	プリンセス・ミネルバ	ビック東海	9900
1025	1995/6/23	西陣パチンコ物語	ケイエスエス	10800
1026	1995/6/23	トランプアイランド	パック・イン・ビデオ	8900
1027	1995/6/30	スーパー競艇	日本物産	9500
1028	1995/6/30	Ｃｉｒｃｕｉｔ ＵＳＡ　（サーキットＵＳＡ）	ヴァージンインタラクティブ	9800
1029	1995/6/30	とっても！ラッキーマン　ラッキークッキールーレットで突撃～！！	バンダイ	8800
1030	1995/6/30	グランヒストリア 幻史世界記	バンプレスト	11400
1031	1995/6/30	復刻版 提督の決断	光栄	9800
1032	1995/6/30	ガメラ ギャオス撃滅作戦	サミー	9980
1033	1995/6/30	リトルマスター～虹色の魔石～	徳間書店インターメディアカンパニー	9900
1034	1995/6/30	デア ラングリッサー	日本コンピュータシステム	10800
1035	1995/6/30	大物ブラックバスフィッシング人造湖編	アクレイム ジャパン	12800
1036	1995/6/30	新日本プロレスリング公認’９５ 闘強導夢ＢＡＴＴＬＥ７	バリエ	11800
1037	1995/6/30	スーパーファイヤープロレスリング クイーンズスペシャル	ヒューマン	11400
1038	1995/6/30	プロ麻雀 極Ⅲ	アテナ	9800
1039	1995/7/7	真・一攫千金	バップ	9800
1040	1995/7/7	スーパーＦ１サーカス外伝	日本物産	9900
1041	1995/7/7	史記英雄伝	アウトリガー工房	10800
1042	1995/7/7	キャラバンシューティングコレクション	ハドソン	6800
1043	1995/7/7	できたてハイスクール	BPS	9990
1044	1995/7/7	パチンコチャレンジャー	カロッツェリアジャパン	9800
1045	1995/7/7	実戦パチスロ必勝法クラシック	サミー	9500
1046	1995/7/14	ピットフォール マヤの大冒険	ポニーキャニオン	9800
1047	1995/7/14	スーパー競輪	アイマックス	9800
1048	1995/7/14	攻略カジノバー	日本物産	7800
1049	1995/7/14	ＫＡＴ’Ｓ ＲＵＮ 全日本Kカー選手権	アトラス	10800
1050	1995/7/14	ミスティックアーク	エニックス	11800
1051	1995/7/14	ラプラスの魔	ビック東海	9900
1052	1995/7/14	甲子園４	魔法	9800
1053	1995/7/14	４人将棋	POW	9800
1054	1995/7/21	悪魔城ドラキュラＸＸ	コナミ	9800
1055	1995/7/21	スーパーヴァリアブル・ジオ	テイジイエル(TGL)	9980
1056	1995/7/21	ＧＯ ＧＯ ＡＣＫＭＡＮ２	バンプレスト	9500
1057	1995/7/21	武豊 Ｇ１メモリー	NGP	12800
1058	1995/7/21	らんま１／２ 奥義邪暗拳	東宝、小学館プロダクション	8800
1059	1995/7/21	ダンクエスト 魔神封印の伝説	テクノスジャパン	9900
1060	1995/7/21	ビッグ一撃 パチスロ大攻略２ ユニバーサル・コレクション	アスク講談社	10800
1061	1995/7/21	将棋最強	魔法	14800
1062	1995/7/28	忍たま乱太郎	カルチャーブレーン	9800
1063	1995/7/28	超原人２	ハドソン	8900
1064	1995/7/28	インディ・ジョーンズ	ビクターエンタテインメント	10800
1065	1995/7/28	ポポイっとへべれけ	サンソフト	8900
1066	1995/7/28	ウルティマ恐竜帝国	ポニーキャニオン	9800
1067	1995/7/28	エメラルドドラゴン	メディアワークス	9800
1068	1995/7/28	就職ゲーム	イマジニア	11800
1069	1995/7/28	キャリアエース	ユーメディア	12800
1070	1995/7/28	バスマスターズクラシック	アルトロン	11800
1071	1995/7/28	ウルトラリーグ 燃えろ！サッカー大決戦！！	ユタカ	9800
1072	1995/7/28	麻雀繁盛記	日本物産	6800
1073	1995/8/4	鬼神童子ＺＥＮＫＩ 烈闘雷伝	ハドソン	9800
1074	1995/8/4	学校であった怖い話	バンプレスト	11800
1075	1995/8/4	超魔法大陸ＷＯＺＺ (ウォズ)	BPS	10800
1076	1995/8/4	稲妻サーブだ！スーパービーチバレー	ヴァージンインタラクティブ	9800
1077	1995/8/4	Jリーグサッカー プライムゴール３	ナムコ	9800
1078	1995/8/5	スーパーマリオ ヨッシーアイランド	任天堂	9800
1079	1995/8/10	スーパーパワーリーグ３	ハドソン	9980
1080	1995/8/11	ドナルドダックの魔法のぼうし	エポック社	9800
1081	1995/8/11	ブラックソーン 復讐の黒き棘	ケムコ	9400
1082	1995/8/11	忍者龍剣伝 巴	テクモ	7980
1083	1995/8/11	すーぱーぐっすんおよよ	バンプレスト	9980
1084	1995/8/11	ブランディッシュ２	光栄	10800
1085	1995/8/11	天地を喰らう 三国志群雄伝	カプコン	12800
1086	1995/8/11	ファイティングベースボール	ココナッツジャパンエンターテイメント	9400
1087	1995/8/11	武宮正樹九段の囲碁大将	ケイエスエス	14800
1088	1995/8/11	ゲームの達人	サンソフト	12800
1089	1995/8/25	魔獣王	ケイエスエス	10800
1090	1995/8/25	ころんらんど	ユーメディア	6800
1091	1995/8/25	ザ・心理ゲーム３	ヴィジット	9800
